343,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,346
389,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,392
389,34,716,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,392
389,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,716,34,34,34,34,34,34,34,34,392
44,44,38,38,38,38,38,38,38,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,392
44,44,38,38,38,38,38,38,38,34,34,34,34,34,34,34,34,34,38,38,38,38,38,38,38,38,38,38,38,38
389,34,34,34,34,34,34,38,38,34,34,34,34,34,34,34,34,34,38,38,38,38,38,38,38,38,38,38,38,38
389,34,716,34,34,34,34,38,38,34,716,34,34,34,34,34,34,34,38,38,34,34,34,34,34,34,34,34,34,392
389,34,34,34,34,34,34,38,38,34,34,34,34,34,34,34,34,34,38,38,34,34,34,34,34,34,716,34,34,392
389,34,34,34,34,34,34,38,38,38,38,38,38,38,38,34,34,34,38,38,34,34,34,34,34,34,34,34,34,392
389,34,34,34,34,34,34,38,38,38,38,38,38,38,38,34,34,34,38,38,34,34,34,34,34,34,34,34,34,392
389,34,34,34,34,34,34,34,34,34,34,34,34,38,38,34,34,34,38,38,34,34,34,34,34,34,34,34,34,392
389,34,34,34,34,34,34,34,34,34,34,716,34,38,38,34,34,34,38,38,34,716,34,34,34,34,34,34,34,392
389,34,34,34,34,34,34,34,34,34,34,34,34,38,38,38,38,38,38,38,34,34,34,34,34,34,34,34,34,392
389,34,34,34,34,34,34,34,34,34,34,34,34,38,38,38,38,38,38,38,34,34,34,34,34,34,34,34,34,392
435,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,438
